Semana,Nestlé: (São Paulo),Nescau: (São Paulo)
2022-12-04,36,41
2022-12-11,38,44
2022-12-18,52,44
2022-12-25,55,46
2023-01-01,41,44
2023-01-08,43,56
2023-01-15,42,49
2023-01-22,50,53
2023-01-29,48,53
2023-02-05,44,47
2023-02-12,47,52
2023-02-19,48,60
2023-02-26,51,48
2023-03-05,47,45
2023-03-12,48,48
2023-03-19,51,53
2023-03-26,62,57
2023-04-02,100,53
2023-04-09,49,43
2023-04-16,38,50
2023-04-23,36,56
2023-04-30,38,52
2023-05-07,40,55
2023-05-14,43,59
2023-05-21,43,58
2023-05-28,38,63
2023-06-04,39,62
2023-06-11,37,62
2023-06-18,34,51
2023-06-25,42,54
2023-07-02,38,63
2023-07-09,38,53
2023-07-16,50,54
2023-07-23,43,53
2023-07-30,44,51
2023-08-06,48,47
2023-08-13,41,54
2023-08-20,44,52
2023-08-27,39,58
2023-09-03,55,57
2023-09-10,42,56
2023-09-17,37,45
2023-09-24,36,44
2023-10-01,37,44
2023-10-08,44,53
2023-10-15,45,52
2023-10-22,38,53
2023-10-29,38,48
2023-11-05,38,46
2023-11-12,31,36
2023-11-19,33,44
2023-11-26,35,35
2023-12-03,37,38
2023-12-10,40,38
2023-12-17,46,38
2023-12-24,47,41
2023-12-31,42,39
2024-01-07,40,44
2024-01-14,40,47
2024-01-21,43,49
2024-01-28,38,48
2024-02-04,41,39
2024-02-11,40,45
2024-02-18,43,44
2024-02-25,46,39
2024-03-03,46,38
2024-03-10,52,38
2024-03-17,51,40
2024-03-24,85,42
2024-03-31,45,33
2024-04-07,34,34
2024-04-14,29,38
2024-04-21,31,37
2024-04-28,30,41
2024-05-05,26,41
2024-05-12,32,37
2024-05-19,32,46
2024-05-26,35,58
2024-06-02,31,41
2024-06-09,35,41
2024-06-16,37,42
2024-06-23,41,43
2024-06-30,37,45
2024-07-07,35,49
2024-07-14,40,48
2024-07-21,41,46
2024-07-28,36,41
2024-08-04,37,37
2024-08-11,36,43
2024-08-18,36,40
2024-08-25,40,48
2024-09-01,39,41
2024-09-08,36,38
2024-09-15,37,39
2024-09-22,39,44
2024-09-29,35,40
2024-10-06,34,44
2024-10-13,44,36
2024-10-20,36,36
2024-10-27,39,38
2024-11-03,38,36
2024-11-10,34,40
2024-11-17,34,37
2024-11-24,34,29
2024-12-01,35,31
