Semana,Barra de cereal: (São Paulo),zero açúcar: (São Paulo),Comida Integral: (São Paulo),Alimentação Saudável: (São Paulo),Comida Saudável: (São Paulo)
2022-12-04,18,27,0,25,10
2022-12-11,20,32,0,26,9
2022-12-18,16,37,0,19,6
2022-12-25,10,25,0,21,7
2023-01-01,22,31,0,28,17
2023-01-08,31,34,0,24,16
2023-01-15,27,37,0,27,11
2023-01-22,35,38,0,28,16
2023-01-29,36,37,0,33,16
2023-02-05,37,41,0,33,14
2023-02-12,39,33,0,42,12
2023-02-19,29,37,0,43,12
2023-02-26,29,35,0,61,19
2023-03-05,29,39,0,63,15
2023-03-12,31,45,0,59,9
2023-03-19,39,42,0,69,18
2023-03-26,29,50,0,69,14
2023-04-02,20,60,0,70,15
2023-04-09,23,38,0,96,13
2023-04-16,28,34,0,68,13
2023-04-23,30,29,0,61,15
2023-04-30,27,37,0,68,20
2023-05-07,27,33,0,72,14
2023-05-14,29,27,0,98,17
2023-05-21,31,29,0,100,22
2023-05-28,30,32,0,93,15
2023-06-04,26,39,0,64,13
2023-06-11,24,27,0,63,18
2023-06-18,21,29,0,65,14
2023-06-25,26,28,0,38,10
2023-07-02,22,35,0,26,12
2023-07-09,23,28,0,24,15
2023-07-16,26,42,0,23,11
2023-07-23,21,33,0,39,7
2023-07-30,30,38,0,55,14
2023-08-06,27,28,0,52,15
2023-08-13,30,34,0,59,8
2023-08-20,35,43,0,63,16
2023-08-27,28,38,0,53,14
2023-09-03,30,41,0,45,15
2023-09-10,29,38,0,65,15
2023-09-17,21,45,0,61,14
2023-09-24,27,42,0,52,13
2023-10-01,27,40,0,38,16
2023-10-08,27,38,0,31,12
2023-10-15,22,32,0,80,19
2023-10-22,27,41,0,78,17
2023-10-29,35,39,0,48,16
2023-11-05,33,44,0,57,12
2023-11-12,19,53,0,37,15
2023-11-19,21,40,0,41,7
2023-11-26,18,47,0,42,11
2023-12-03,24,53,0,26,10
2023-12-10,19,54,0,25,8
2023-12-17,8,63,0,18,8
2023-12-24,10,49,0,10,0
2023-12-31,23,38,0,21,11
2024-01-07,26,37,0,23,14
2024-01-14,28,45,0,26,20
2024-01-21,33,37,0,21,0
2024-01-28,28,47,0,20,17
2024-02-04,21,39,0,21,14
2024-02-11,26,38,0,23,12
2024-02-18,28,51,0,42,10
2024-02-25,39,38,0,43,12
2024-03-03,25,43,0,41,11
2024-03-10,24,47,0,46,7
2024-03-17,28,47,0,48,14
2024-03-24,22,53,0,34,12
2024-03-31,25,35,0,54,17
2024-04-07,29,36,0,49,10
2024-04-14,24,40,0,46,10
2024-04-21,28,33,0,49,12
2024-04-28,14,41,0,44,9
2024-05-05,22,41,0,57,10
2024-05-12,21,41,0,62,11
2024-05-19,23,38,0,58,15
2024-05-26,13,36,0,45,11
2024-06-02,20,42,0,51,10
2024-06-09,22,43,0,55,9
2024-06-16,20,49,0,48,12
2024-06-23,17,45,0,36,14
2024-06-30,22,54,0,30,9
2024-07-07,17,46,0,14,14
2024-07-14,18,38,0,16,9
2024-07-21,21,39,0,25,8
2024-07-28,24,47,0,32,12
2024-08-04,24,40,0,44,10
2024-08-11,30,58,0,51,7
2024-08-18,27,52,0,41,10
2024-08-25,21,42,0,40,13
2024-09-01,28,55,0,40,15
2024-09-08,22,64,0,52,13
2024-09-15,23,48,0,51,8
2024-09-22,20,61,0,40,15
2024-09-29,28,48,0,42,14
2024-10-06,31,49,0,40,15
2024-10-13,22,64,0,56,12
2024-10-20,25,54,0,50,9
2024-10-27,20,52,0,43,10
2024-11-03,28,62,0,45,9
2024-11-10,25,63,0,47,14
2024-11-17,21,61,0,47,13
2024-11-24,20,60,2,38,10
2024-12-01,17,61,1,27,9
